STT,GIỐNG NHAU - LOẠI,GIỐNG NHAU - NHU CẦU,GIỐNG NHAU - TỈNH,QUẬN HUYỆN,PHƯỜNG XÃ,GIÁ - TRIỆU ĐỒNG,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,NĂM SẢN XUẤT,DUNG TÍCH,KIỂU XE,SỐ KM ĐÃ ĐI
18,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,7,2/1/2021,Yamaha,Nouvo,2010,100 - 175 ,Tay ga,52
19,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 5,388,2/1/2021,Harley Davidson,Sportster,2017,,Tay côn/Moto,1279
20,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,4.7,2/1/2021,Hãng khác,Dòng khác,2013,,Tay côn/Moto,500
21,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,14.5,2/1/2021,Honda,Air Blade,2011,100 - 175 ,Tay ga,32575
22,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,20.5,2/1/2021,Honda,Air Blade,2011,100 - 175 ,Tay ga,27
23,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Xuân,10.3,2/1/2021,Honda,Wave,2013,50 - 100 ,Xe số,18
24,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,6.9,2/1/2021,Honda,SCR,2008,,Tay ga,28779
25,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 24,5.2,2/1/2021,SYM,Attila,2011,100 - 175 ,Tay ga,22
26,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Xuân,44,2/1/2021,Honda,Vario,2019,100 - 175 ,Tay ga,8
27,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,6.6,2/1/2021,SYM,Attila,2010,100 - 175 ,Tay ga,12
28,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,9.5,2/1/2021,Honda,Wave,2014,,Xe số,58
29,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,7.5,2/1/2021,SYM,Elizabeth,2011,,Tay ga,20
30,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,13,2/1/2021,Honda,Vision,2012,100 - 175 ,Tay ga,15
31,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 3,16.5,2/1/2021,Honda,Air Blade,2013,100 - 175 ,Tay ga,13
32,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 14,8.8,2/1/2021,Honda,Wave,2008,50 - 100 ,Xe số,35
33,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 6,8,2/1/2021,Honda,Wave,2001,50 - 100 ,Xe số,897
34,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 11,17,2/1/2021,Honda,Wave,2002,50 - 100 ,Xe số,41
35,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 1,28.5,2/1/2021,Yamaha,Exciter,2009,100 - 175 ,Tay côn/Moto,19
36,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,63.5,2/1/2021,Honda,SH,2012,100 - 175 ,Tay ga,245
37,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,32.9,2/1/2021,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,
38,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,16.8,2/1/2021,Honda,Air Blade,2010,,Tay ga,30
39,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,4.5,2/1/2021,Honda,Wave,2018,50 - 100 ,Xe số,38
40,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,28,2/1/2021,Honda,Dream,1996,,Xe số,46598
41,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,11,2/1/2021,Yamaha,Luvias,2010,100 - 175 ,Tay ga,397979
42,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,7.3,2/1/2021,Honda,Wave,2003,100 - 175 ,Xe số,29
43,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 14,148.5,2/1/2021,Suzuki,Sport / Xipo,2000,100 - 175 ,Tay côn/Moto,800
44,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,96,2/1/2021,Honda,SH,2010,100 - 175 ,Tay ga,15
45,Xe máy,Cần bán,Hồ Chí Minh,Quận 4,Phường 3,9.2,2/1/2021,Hãng khác,Dòng khác,2000,100 - 175 ,Xe số,149
46,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,4.8,2/1/2021,Honda,Wave,2009,100 - 175 ,Xe số,50
47,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,42.9,2/1/2021,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,9
48,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,14.5,2/1/2021,Honda,Air Blade,2012,100 - 175 ,Tay ga,30
49,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,5,2/1/2021,Yamaha,Mio,2012,,Tay ga,50
50,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Chánh Hiệp,2.3,2/1/2021,Yamaha,Nouvo,2006,50 - 100 ,Tay ga,64239
51,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Kiên,62,2/1/2021,Honda,SH Mode,2018,,Tay ga,25
52,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,250,2/1/2021,Honda,Vision,2016,100 - 175 ,Tay ga,20
53,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 13,7.9,2/1/2021,Yamaha,Mio,2010,100 - 175 ,Tay ga,20
54,Xe máy,Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,13.5,2/1/2021,Honda,Air Blade,2011,100 - 175 ,Tay ga,999
55,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Trung Chánh,13.5,2/1/2021,Suzuki,Royal,1999,100 - 175 ,Xe số,52145
56,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 9,32,2/1/2021,Honda,Vision,2020,,Tay ga,3378
57,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,27.9,2/1/2021,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,
58,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,88,2/1/2021,Honda,SH,2008,Trên 175 ,Tay ga,35
59,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,25,2/1/2021,SYM,Husky,2019,100 - 175 ,Tay côn/Moto,400
60,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,10.5,2/1/2021,Yamaha,Sirius,2015,,Xe số,20
61,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,31.9,2/1/2021,Yamaha,Nvx,2017,100 - 175 ,Tay ga,
62,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Đông,57,2/1/2021,Honda,Air Blade,2012,100 - 175 ,Tay ga,25
63,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,4.9,2/1/2021,Hãng khác,Dòng khác,2020,50 - 100 ,Xe số,1234
64,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,33.8,2/1/2021,Honda,MSX 125,2018,100 - 175 ,Tay côn/Moto,9
65,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,,11.8,2/1/2021,Kymco,Candy Hi,2016,,Tay ga,1789
66,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 1,12.5,2/1/2021,Honda,Wave,2014,50 - 100 ,Xe số,70
67,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,180,2/1/2021,Yamaha,YAZ,2020,100 - 175 ,Tay côn/Moto,349
68,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,19.8,2/1/2021,Honda,Dylan,2004,100 - 175 ,Tay ga,25
69,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,58,2/1/2021,Honda,SH Mode,2019,100 - 175 ,Tay ga,2
70,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 5,34.8,2/1/2021,Honda,Future,2002,100 - 175 ,Xe số,33
71,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,23.9,2/1/2021,Yamaha,Exciter,2011,100 - 175 ,Tay côn/Moto,30
72,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,79.5,2/1/2021,Honda,SH,2017,100 - 175 ,Tay ga,8
73,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,14.5,2/1/2021,Honda,Wave,2018,,Xe số,30
74,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 14,3.3,2/1/2021,Hãng khác,Dòng khác,1999,50 - 100 ,Xe số,1558
75,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,10.7,2/1/2021,SYM,Shark,2016,100 - 175 ,Tay ga,25
76,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,153,2/1/2021,Honda,SH,2010,100 - 175 ,Tay ga,18989
77,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Tam Bình,199,2/1/2021,Honda,SH,2010,100 - 175 ,Tay ga,30
78,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 13,48,2/1/2021,Honda,Sonic,2019,,Tay côn/Moto,7
79,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Đông Hưng Thuận,24.5,2/1/2021,Yamaha,Exciter,2010,100 - 175 ,Xe số,1
80,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Cầu Ông Lãnh,126,2/1/2021,Honda,SH,2010,100 - 175 ,Tay ga,15
81,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,,35.8,2/1/2021,Suzuki,Satria,2018,,Tay côn/Moto,1789
82,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,13,2/1/2021,Honda,Wave,2017,100 - 175 ,Xe số,29
83,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,23.9,2/1/2021,Honda,Winner,2017,100 - 175 ,Tay côn/Moto,10
84,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,14,2/1/2021,Honda,Wave,2019,,Xe số,116
85,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 10,32.8,2/1/2021,Piaggio,Primavera,2014,100 - 175 ,Tay ga,145
86,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 6,74.5,2/1/2021,Piaggio,Vespa,2020,100 - 175 ,Tay ga,2
87,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,,6.7,2/1/2021,Honda,Wave,2003,,Xe số,
88,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,101,2/1/2021,Honda,SH,2018,100 - 175 ,Tay ga,8
89,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,25,2/1/2021,Honda,Air Blade,2016,100 - 175 ,Tay ga,22222
90,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Thuận Đông,135,2/1/2021,Honda,Dòng khác,2018,Trên 175 ,Tay côn/Moto,15
91,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Cầu Ông Lãnh,115,2/1/2021,Honda,SH,2010,100 - 175 ,Tay ga,15
92,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 5,46.5,2/1/2021,Piaggio,Vespa,2016,100 - 175 ,Tay ga,20
93,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,24,2/1/2021,Honda,Winner,2019,,Tay côn/Moto,51
94,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,32.5,2/1/2021,Yamaha,Nvx,2017,100 - 175 ,Tay ga,8
95,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,17.8,2/1/2021,Honda,Cub,1996,,Xe số,15
96,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,1.579,2/1/2021,Yamaha,Nouvo,2009,50 - 100 ,Tay ga,396989
97,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Xuân,36.5,2/1/2021,Suzuki,Raider,2019,,Tay côn/Moto,12
98,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 5,22.5,2/1/2021,SYM,Shark,2013,,Tay ga,122
99,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,37.9,2/1/2021,Piaggio,Medley,2017,,Tay ga,
100,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 3,33.5,2/1/2021,Piaggio,Primavera,2015,100 - 175 ,Tay ga,8
101,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,28.9,2/1/2021,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,9
102,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,18.5,2/1/2021,Honda,Air Blade,2010,100 - 175 ,Tay ga,88888
103,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,28.8,2/1/2021,Yamaha,Exciter,2017,,Tay côn/Moto,4
104,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,32.5,2/1/2021,Honda,Winner,2018,100 - 175 ,Xe số,6
105,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 13,13.3,2/1/2021,Honda,Air Blade,2012,50 - 100 ,Tay ga,123
106,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 12,28.3,2/1/2021,Honda,Future,2019,100 - 175 ,Xe số,15
107,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,12.2,2/1/2021,Suzuki,Axelo,2015,,Xe số,9
108,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,22.9,2/1/2021,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,9
109,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 7,36.5,2/1/2021,Honda,Lead,2018,,Tay ga,5
110,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Hiệp,14.2,2/1/2021,Honda,Vision,2013,,Tay ga,22222
111,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Kiểng,10,2/1/2021,Piaggio,Vespa,2010,100 - 175 ,Tay ga,38
112,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,25,2/1/2021,Honda,Future,2006,100 - 175 ,Xe số,12
113,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,20,2/1/2021,Benelli,TNT,2018,100 - 175 ,Tay côn/Moto,15
114,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 10,58.8,2/1/2021,Honda,Sonic,2020,100 - 175 ,Tay côn/Moto,678
115,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,12.8,2/1/2021,Honda,Wave,2004,100 - 175 ,Xe số,397989
116,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 3,10.5,2/1/2021,Yamaha,Sirius,2011,,Xe số,30
117,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,22.8,2/1/2021,Honda,Vision,2017,,Tay ga,6
118,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,15.5,2/1/2021,Honda,Dylan,2002,100 - 175 ,Tay ga,20
119,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,,60,2/1/2021,Honda,SH,2005,100 - 175 ,Tay ga,40
120,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã An Phú Tây,10,2/1/2021,Honda,Future,2020,Không biết rõ,Xe số,
121,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,135.6,2/1/2021,Honda,SH,2011,,Tay ga,15
122,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,26.999,2/1/2021,Yamaha,Exciter,2016,100 - 175 ,Tay côn/Moto,9
123,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,26,2/1/2021,Yamaha,Exciter,2016,,Tay côn/Moto,16
124,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,208,2/1/2021,Kawasaki,Z900,2017,Trên 175 ,Tay côn/Moto,12
125,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,2.9,2/1/2021,Honda,Wave,2011,100 - 175 ,Xe số,20
126,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 13,14.4,2/1/2021,Honda,Wave,2018,100 - 175 ,Xe số,20
127,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 9,23.5,2/1/2021,Honda,Air Blade,2013,,Tay ga,123456
128,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Đa Phước,16,2/1/2021,Honda,Dream,2017,,Xe số,20
129,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,5.4,2/1/2021,Suzuki,Hayate,2010,,Tay ga,39999
130,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,,11.5,2/1/2021,Yamaha,Nouvo,2010,100 - 175 ,Tay ga,30
131,Xe máy,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình An,65.5,2/1/2021,Honda,Vario,2018,100 - 175 ,Tay ga,
132,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,58.8,2/1/2021,Honda,SH,2009,100 - 175 ,Tay ga,111
133,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 4,18.8,2/1/2021,Yamaha,Exciter,2012,100 - 175 ,Tay côn/Moto,25
134,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,8,2/1/2021,Yamaha,Jupiter,2010,50 - 100 ,Xe số,99999
135,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,1.75,2/1/2021,SYM,Attila,2007,,Tay ga,5
136,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,13.5,2/1/2021,Honda,Lead,2012,,Tay ga,35
137,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,2.5,2/1/2021,Honda,Dream,2009,50 - 100 ,Xe số,
138,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,25.2,2/1/2021,Honda,Wave,2000,,Xe số,42785
139,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,,57.8,2/1/2021,Honda,SH,2015,100 - 175 ,Tay ga,16
140,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 5,24.5,1/1/2021,Honda,Air Blade,2013,100 - 175 ,Tay ga,23
141,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,42,1/1/2021,Piaggio,Vespa,2014,100 - 175 ,Tay ga,13
142,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 11,2.35,1/1/2021,SYM,Attila,2010,100 - 175 ,Tay ga,25
143,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,3,1/1/2021,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,12
144,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 14,37,1/1/2021,Honda,Winner X,2020,,Tay côn/Moto,100
145,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,100,1/1/2021,Honda,SH,2018,100 - 175 ,Tay ga,12
146,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,22,1/1/2021,Honda,Air Blade,2010,100 - 175 ,Tay ga,19
147,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,9.5,1/1/2021,Honda,Wave,2008,100 - 175 ,Xe số,500
148,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Kiểng,25,1/1/2021,Honda,Wave,2000,100 - 175 ,Xe số,1234
149,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,16,1/1/2021,Yamaha,Exciter,2012,100 - 175 ,Tay côn/Moto,44
150,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 1,76.8,1/1/2021,Honda,SH,2014,100 - 175 ,Tay ga,15
151,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 11,5.5,1/1/2021,Yamaha,Nouvo,2010,100 - 175 ,Tay ga,94
152,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,1,1/1/2021,Yamaha,Janus,2019,100 - 175 ,Tay ga,10
153,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc A,8.5,1/1/2021,Honda,Vision,2013,100 - 175 ,Tay ga,20
154,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phạm Văn Hai,70,1/1/2021,Honda,Dòng khác,2018,100 - 175 ,Tay côn/Moto,12
155,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,17.2,1/1/2021,Honda,Future,2004,,Xe số,38
156,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 9,46.5,1/1/2021,Honda,Vario,2019,,Tay ga,8
157,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 14,76,1/1/2021,Piaggio,Vespa,2020,100 - 175 ,Tay ga,990
158,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,5.5,1/1/2021,Honda,Wave,2010,50 - 100 ,Xe số,1
159,Xe máy,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình An,42.8,1/1/2021,Honda,Air Blade,2020,100 - 175 ,Tay ga,33
160,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,229,1/1/2021,Hãng khác,Dòng khác,2008,Trên 175 ,Tay côn/Moto,19
161,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 14,38.5,1/1/2021,Piaggio,GTS,2010,100 - 175 ,Tay ga,23
162,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Quý,19.5,1/1/2021,Honda,Dream,1999,100 - 175 ,Xe số,1
163,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 3,13.8,1/1/2021,Piaggio,Vespa,2010,100 - 175 ,Tay ga,20
164,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông A,26.5,1/1/2021,Honda,Future,2011,50 - 100 ,Xe số,
165,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Thới Tam Thôn,33,1/1/2021,Honda,Future,2020,100 - 175 ,Xe số,
166,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 1,38,1/1/2021,Honda,Air Blade,2009,100 - 175 ,Tay ga,40
167,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,21.5,1/1/2021,Honda,Dream,2002,100 - 175 ,Xe số,25
168,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,4.7,1/1/2021,Honda,Wave,2014,100 - 175 ,Xe số,123
169,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,9.2,1/1/2021,Yamaha,Nouvo,2011,100 - 175 ,Tay ga,45678
170,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,104,1/1/2021,Honda,SH,2012,100 - 175 ,Tay ga,18
